customer_id,month,events,minutes_used,feature_X_used
10,2023-05-01,24,476,5
10,2023-06-01,87,731,42
10,2023-07-01,107,550,30
10,2023-08-01,176,776,47
10,2023-09-01,72,462,17
11,2023-01-01,81,302,26
11,2023-02-01,156,609,46
11,2023-03-01,45,0,12
11,2023-04-01,141,325,41
11,2023-05-01,183,570,66
12,2023-01-01,0,734,0
12,2023-02-01,33,565,12
12,2023-03-01,96,583,39
12,2023-04-01,248,554,69
12,2023-05-01,78,629,26
12,2023-06-01,177,501,56
12,2023-07-01,127,395,28
12,2023-08-01,191,761,52
12,2023-09-01,136,500,41
12,2023-10-01,186,264,61
12,2023-11-01,25,553,5
12,2023-12-01,48,143,15
12,2024-01-01,149,217,49
12,2024-02-01,111,751,25
12,2024-03-01,146,184,41
12,2024-04-01,155,353,40
12,2024-05-01,124,409,31
12,2024-06-01,97,689,31
12,2024-07-01,133,505,47
12,2024-08-01,134,384,40
13,2023-01-01,182,545,60
13,2023-02-01,58,509,19
13,2023-03-01,123,469,51
13,2023-04-01,233,360,64
14,2023-01-01,118,428,36
14,2023-02-01,207,0,71
14,2023-03-01,111,0,31
14,2023-04-01,62,77,16
14,2023-05-01,152,431,45
14,2023-06-01,4,460,2
14,2023-07-01,179,608,58
14,2023-08-01,150,703,43
14,2023-09-01,33,265,5
14,2023-10-01,62,317,18
14,2023-11-01,3,348,1
14,2023-12-01,75,589,25
14,2024-01-01,133,471,29
15,2023-01-01,103,281,28
16,2023-01-01,0,232,0
17,2023-01-01,77,937,25
17,2023-02-01,129,494,36
17,2023-03-01,118,649,47
17,2023-04-01,164,577,49
17,2023-05-01,131,594,28
17,2023-06-01,144,443,61
17,2023-07-01,152,495,44
17,2023-08-01,57,397,20
17,2023-09-01,114,642,42
17,2023-10-01,123,295,36
17,2023-11-01,0,498,0
18,2023-01-01,140,635,44
18,2023-02-01,131,471,34
19,2023-01-01,110,381,31
19,2023-02-01,5,216,2
19,2023-03-01,139,354,42
19,2023-04-01,88,310,24
19,2023-05-01,148,350,40
19,2023-06-01,189,938,55
19,2023-07-01,126,602,30
19,2023-08-01,122,539,36
19,2023-09-01,41,436,7
19,2023-10-01,106,419,27
19,2023-11-01,136,197,36
19,2023-12-01,69,269,23
19,2024-01-01,96,829,34
19,2024-02-01,52,301,18
19,2024-03-01,106,363,33
19,2024-04-01,83,676,22
19,2024-05-01,135,666,41
19,2024-06-01,96,86,32
19,2024-07-01,72,736,20
19,2024-08-01,136,664,35
20,2023-01-01,67,729,24
20,2023-02-01,105,694,35
20,2023-03-01,127,869,37
20,2023-04-01,231,473,70
21,2023-01-01,171,623,52
21,2023-02-01,139,720,52
21,2023-03-01,148,762,37
21,2023-04-01,86,309,15
21,2023-05-01,160,685,52
21,2023-06-01,187,594,53
22,2023-01-01,159,189,51
23,2023-01-01,169,547,61
23,2023-02-01,23,637,10
24,2023-01-01,0,785,0
24,2023-02-01,119,747,40
24,2023-03-01,153,616,41
24,2023-04-01,83,677,24
24,2023-05-01,0,462,0
24,2023-06-01,162,752,49
24,2023-07-01,138,561,45
24,2023-08-01,99,546,32
25,2023-01-01,57,537,22
25,2023-02-01,224,423,62
25,2023-03-01,101,536,32
25,2023-04-01,103,448,27
26,2023-01-01,51,541,18
26,2023-02-01,114,332,34
26,2023-03-01,65,689,22
26,2023-04-01,171,541,45
26,2023-05-01,293,340,98
26,2023-06-01,127,435,34
26,2023-07-01,120,336,26
26,2023-08-01,16,464,5
26,2023-09-01,175,428,52
26,2023-10-01,182,546,62
26,2023-11-01,149,292,45
26,2023-12-01,64,293,22
26,2024-01-01,130,584,33
26,2024-02-01,48,380,17
26,2024-03-01,174,319,56
26,2024-04-01,71,541,20
26,2024-05-01,67,488,22
26,2024-06-01,82,340,28
26,2024-07-01,85,561,30
26,2024-08-01,111,674,33
27,2023-01-01,122,437,41
27,2023-02-01,217,781,69
27,2023-03-01,146,805,44
27,2023-04-01,195,400,64
27,2023-05-01,116,456,37
27,2023-06-01,16,476,1
27,2023-07-01,49,339,21
27,2023-08-01,127,645,41
27,2023-09-01,88,546,27
27,2023-10-01,171,230,40
27,2023-11-01,163,438,47
27,2023-12-01,177,437,56
27,2024-01-01,107,385,28
27,2024-02-01,211,501,74
27,2024-03-01,56,383,13
27,2024-04-01,42,631,11
27,2024-05-01,97,299,32
27,2024-06-01,88,525,23
27,2024-07-01,7,359,1
27,2024-08-01,158,906,46
28,2023-01-01,63,468,22
28,2023-02-01,72,364,23
28,2023-03-01,84,439,26
28,2023-04-01,20,653,3
28,2023-05-01,102,386,31
28,2023-06-01,89,545,21
28,2023-07-01,119,766,40
29,2023-01-01,63,901,23
29,2023-02-01,193,677,60
29,2023-03-01,124,631,36
30,2023-01-01,23,386,5
31,2023-01-01,44,860,11
31,2023-02-01,182,713,54
32,2023-01-01,107,322,26
32,2023-02-01,175,378,54
32,2023-03-01,86,473,31
32,2023-04-01,183,530,48
32,2023-05-01,65,705,16
32,2023-06-01,102,323,32
32,2023-07-01,175,555,50
32,2023-08-01,92,0,27
32,2023-09-01,84,518,25
32,2023-10-01,204,490,58
33,2023-01-01,97,372,20
33,2023-02-01,220,568,62
33,2023-03-01,182,951,54
33,2023-04-01,159,1033,58
33,2023-05-01,28,379,5
33,2023-06-01,191,81,59
33,2023-07-01,39,504,11
33,2023-08-01,82,639,30
33,2023-09-01,128,549,43
34,2023-01-01,87,484,25
34,2023-02-01,178,806,54
34,2023-03-01,124,745,32
34,2023-04-01,75,297,22
34,2023-05-01,162,519,44
34,2023-06-01,82,361,24
34,2023-07-01,128,350,33
35,2023-01-01,133,456,42
35,2023-02-01,109,719,33
36,2023-01-01,236,457,78
37,2023-01-01,189,615,61
38,2023-01-01,91,470,24
38,2023-02-01,8,100,2
38,2023-03-01,75,622,21
38,2023-04-01,53,631,16
38,2023-05-01,135,256,43
38,2023-06-01,228,148,57
38,2023-07-01,101,111,36
38,2023-08-01,24,365,4
38,2023-09-01,32,151,8
38,2023-10-01,0,517,0
38,2023-11-01,146,384,38
38,2023-12-01,202,434,57
38,2024-01-01,265,189,96
38,2024-02-01,117,696,45
38,2024-03-01,74,488,14
39,2023-01-01,109,396,34
39,2023-02-01,166,225,48
39,2023-03-01,86,508,26
39,2023-04-01,160,244,43
39,2023-05-01,148,430,41
39,2023-06-01,107,583,36
40,2023-01-01,62,276,15
41,2023-01-01,108,633,38
41,2023-02-01,111,913,46
41,2023-03-01,135,487,42
41,2023-04-01,10,635,6
41,2023-05-01,134,551,48
41,2023-06-01,142,360,53
41,2023-07-01,107,571,32
41,2023-08-01,119,467,41
41,2023-09-01,106,473,33
41,2023-10-01,74,210,26
41,2023-11-01,136,510,46
41,2023-12-01,300,644,91
41,2024-01-01,270,104,80
41,2024-02-01,153,435,42
41,2024-03-01,67,622,17
41,2024-04-01,138,640,42
41,2024-05-01,78,377,20
41,2024-06-01,41,545,11
41,2024-07-01,200,583,64
41,2024-08-01,102,790,27
42,2023-01-01,115,274,33
42,2023-02-01,178,588,51
42,2023-03-01,134,649,45
42,2023-04-01,133,807,40
43,2023-01-01,44,631,15
43,2023-02-01,139,430,46
43,2023-03-01,137,302,42
43,2023-04-01,244,818,77
44,2023-01-01,66,55,20
44,2023-02-01,93,510,27
44,2023-03-01,226,790,64
44,2023-04-01,139,590,42
44,2023-05-01,102,0,30
44,2023-06-01,53,458,15
44,2023-07-01,58,596,19
44,2023-08-01,96,1010,31
44,2023-09-01,134,370,53
44,2023-10-01,160,697,50
45,2023-01-01,225,691,72
46,2023-01-01,20,628,4
46,2023-02-01,276,320,86
46,2023-03-01,111,139,36
46,2023-04-01,0,787,0
46,2023-05-01,89,572,26
46,2023-06-01,92,642,30
46,2023-07-01,102,658,29
46,2023-08-01,108,544,31
46,2023-09-01,123,713,47
46,2023-10-01,180,421,51
46,2023-11-01,62,677,22
46,2023-12-01,122,712,40
46,2024-01-01,112,531,35
46,2024-02-01,77,687,18
46,2024-03-01,232,568,80
46,2024-04-01,116,604,27
46,2024-05-01,115,376,41
46,2024-06-01,117,597,37
46,2024-07-01,118,506,38
46,2024-08-01,157,500,45
47,2023-01-01,204,598,76
47,2023-02-01,106,471,33
47,2023-03-01,125,302,38
47,2023-04-01,90,747,25
48,2023-01-01,102,425,28
48,2023-02-01,62,642,16
48,2023-03-01,88,282,24
48,2023-04-01,137,737,29
48,2023-05-01,72,403,23
48,2023-06-01,97,366,22
48,2023-07-01,175,509,65
48,2023-08-01,134,345,40
49,2023-01-01,133,334,32
49,2023-02-01,123,412,44
49,2023-03-01,98,704,28
49,2023-04-01,112,475,32
49,2023-05-01,63,706,16
49,2023-06-01,193,589,51
49,2023-07-01,70,316,25
49,2023-08-01,41,559,7
49,2023-09-01,141,603,33
49,2023-10-01,132,601,30
49,2023-11-01,177,420,36
49,2023-12-01,134,510,49
49,2024-01-01,125,414,35
49,2024-02-01,198,996,56
49,2024-03-01,130,375,36
49,2024-04-01,125,265,40
49,2024-05-01,57,463,12
49,2024-06-01,156,120,45
49,2024-07-01,168,306,46
49,2024-08-01,176,240,44
50,2023-01-01,184,511,54
50,2023-02-01,142,753,47
50,2023-03-01,145,713,50
50,2023-04-01,44,304,15
50,2023-05-01,52,801,18
50,2023-06-01,77,309,20
50,2023-07-01,86,688,23
50,2023-08-01,185,518,58
50,2023-09-01,84,787,28
50,2023-10-01,174,318,57
50,2023-11-01,80,212,23
50,2023-12-01,80,621,25
51,2023-01-01,129,209,40
51,2023-02-01,161,215,54
51,2023-03-01,111,677,40
51,2023-04-01,244,380,79
51,2023-05-01,9,489,4
51,2023-06-01,157,383,39
52,2023-01-01,157,596,52
52,2023-02-01,216,574,55
52,2023-03-01,137,388,32
52,2023-04-01,165,592,46
52,2023-05-01,92,419,32
52,2023-06-01,122,298,42
52,2023-07-01,145,431,42
52,2023-08-01,83,398,20
52,2023-09-01,193,296,61
52,2023-10-01,90,729,33
52,2023-11-01,184,432,66
52,2023-12-01,74,669,20
52,2024-01-01,161,381,45
52,2024-02-01,75,539,27
52,2024-03-01,142,318,41
52,2024-04-01,93,212,20
52,2024-05-01,127,612,34
52,2024-06-01,192,310,43
52,2024-07-01,101,697,29
52,2024-08-01,172,408,49
53,2023-01-01,136,358,43
53,2023-02-01,130,816,37
53,2023-03-01,129,456,40
53,2023-04-01,119,253,42
53,2023-05-01,134,616,44
53,2023-06-01,160,663,47
53,2023-07-01,78,687,25
53,2023-08-01,134,673,40
53,2023-09-01,85,77,20
53,2023-10-01,167,465,50
53,2023-11-01,0,662,1
53,2023-12-01,49,654,13
53,2024-01-01,66,32,16
53,2024-02-01,149,573,41
53,2024-03-01,204,534,44
53,2024-04-01,126,446,40
53,2024-05-01,94,526,32
53,2024-06-01,160,110,41
53,2024-07-01,22,595,6
53,2024-08-01,92,674,39
54,2023-01-01,97,435,33
54,2023-02-01,173,539,50
54,2023-03-01,148,840,41
54,2023-04-01,67,363,20
54,2023-05-01,215,278,64
54,2023-06-01,53,365,16
54,2023-07-01,187,226,69
54,2023-08-01,212,447,67
54,2023-09-01,172,455,49
54,2023-10-01,51,506,24
54,2023-11-01,95,768,31
54,2023-12-01,88,399,28
54,2024-01-01,42,890,14
54,2024-02-01,53,654,18
54,2024-03-01,223,538,69
54,2024-04-01,116,467,29
54,2024-05-01,172,785,54
54,2024-06-01,89,929,25
54,2024-07-01,72,96,23
54,2024-08-01,150,595,52
55,2023-01-01,167,621,44
55,2023-02-01,129,1035,35
55,2023-03-01,83,390,26
55,2023-04-01,88,709,23
56,2023-01-01,187,845,55
56,2023-02-01,189,567,59
56,2023-03-01,106,349,32
56,2023-04-01,181,245,54
56,2023-05-01,43,454,8
56,2023-06-01,174,167,37
56,2023-07-01,104,679,29
56,2023-08-01,300,393,87
56,2023-09-01,0,320,0
56,2023-10-01,166,143,52
56,2023-11-01,14,811,7
56,2023-12-01,154,541,43
56,2024-01-01,99,506,24
56,2024-02-01,122,212,40
56,2024-03-01,99,590,36
56,2024-04-01,22,542,6
56,2024-05-01,194,408,62
57,2023-01-01,79,603,22
57,2023-02-01,155,233,54
58,2023-01-01,43,771,17
59,2023-01-01,57,850,12
59,2023-02-01,178,401,57
59,2023-03-01,81,851,28
60,2023-01-01,140,547,50
60,2023-02-01,41,812,7
60,2023-03-01,0,333,0
60,2023-04-01,178,556,52
60,2023-05-01,181,447,60
60,2023-06-01,224,360,60
60,2023-07-01,53,582,15
60,2023-08-01,193,799,54
60,2023-09-01,128,599,45
60,2023-10-01,194,229,64
60,2023-11-01,24,689,7
60,2023-12-01,91,149,24
60,2024-01-01,24,521,9
60,2024-02-01,122,222,35
60,2024-03-01,95,479,26
60,2024-04-01,65,848,14
60,2024-05-01,92,676,34
60,2024-06-01,49,416,19
60,2024-07-01,159,411,51
60,2024-08-01,66,407,21
61,2023-01-01,85,237,28
61,2023-02-01,151,573,34
61,2023-03-01,26,448,7
61,2023-04-01,193,311,59
61,2023-05-01,188,575,61
61,2023-06-01,142,566,45
61,2023-07-01,105,850,32
61,2023-08-01,236,497,70
61,2023-09-01,107,959,28
61,2023-10-01,143,917,45
61,2023-11-01,148,713,47
61,2023-12-01,126,575,24
61,2024-01-01,155,936,50
61,2024-02-01,132,0,39
61,2024-03-01,90,352,24
61,2024-04-01,96,479,32
61,2024-05-01,122,447,33
61,2024-06-01,24,218,4
61,2024-07-01,224,445,67
61,2024-08-01,94,186,27
62,2023-01-01,115,631,34
62,2023-02-01,94,846,29
62,2023-03-01,48,495,16
62,2023-04-01,172,667,43
62,2023-05-01,104,629,34
62,2023-06-01,183,620,64
62,2023-07-01,157,579,50
62,2023-08-01,143,1084,42
62,2023-09-01,165,539,43
62,2023-10-01,114,480,35
62,2023-11-01,94,560,35
62,2023-12-01,141,428,50
62,2024-01-01,184,410,50
63,2023-01-01,76,477,23
63,2023-02-01,82,314,31
63,2023-03-01,209,410,64
63,2023-04-01,61,590,16
63,2023-05-01,138,677,32
63,2023-06-01,74,529,19
63,2023-07-01,147,431,42
63,2023-08-01,64,775,21
63,2023-09-01,180,584,61
63,2023-10-01,53,540,9
63,2023-11-01,152,617,56
63,2023-12-01,170,431,54
63,2024-01-01,101,513,35
63,2024-02-01,204,416,50
63,2024-03-01,99,756,32
63,2024-04-01,98,758,32
63,2024-05-01,143,930,40
63,2024-06-01,113,160,34
63,2024-07-01,103,380,31
63,2024-08-01,86,889,29
64,2023-01-01,113,639,30
64,2023-02-01,108,800,33
64,2023-03-01,187,433,54
64,2023-04-01,117,376,35
64,2023-05-01,128,720,44
64,2023-06-01,103,708,28
64,2023-07-01,23,383,10
64,2023-08-01,162,300,59
64,2023-09-01,119,468,41
65,2023-01-01,192,177,63
65,2023-02-01,10,234,3
65,2023-03-01,238,738,69
65,2023-04-01,10,591,5
65,2023-05-01,107,348,24
65,2023-06-01,93,153,27
65,2023-07-01,241,245,74
65,2023-08-01,123,310,39
65,2023-09-01,174,459,47
65,2023-10-01,71,510,15
65,2023-11-01,74,623,25
65,2023-12-01,101,408,25
65,2024-01-01,0,772,0
65,2024-02-01,152,371,49
65,2024-03-01,79,500,29
65,2024-04-01,97,1046,30
65,2024-05-01,194,240,54
65,2024-06-01,206,96,57
65,2024-07-01,207,96,66
65,2024-08-01,91,342,30
66,2023-01-01,80,182,18
66,2023-02-01,159,595,51
66,2023-03-01,165,514,51
66,2023-04-01,201,400,63
66,2023-05-01,97,603,28
66,2023-06-01,92,522,31
67,2023-01-01,76,631,23
67,2023-02-01,68,796,17
67,2023-03-01,72,739,23
67,2023-04-01,110,217,32
67,2023-05-01,65,513,15
67,2023-06-01,212,297,65
67,2023-07-01,42,803,13
67,2023-08-01,37,690,12
68,2023-01-01,119,503,33
68,2023-02-01,0,395,0
68,2023-03-01,15,550,4
68,2023-04-01,95,190,39
68,2023-05-01,133,653,37
68,2023-06-01,29,205,7
68,2023-07-01,135,270,43
68,2023-08-01,180,238,52
68,2023-09-01,154,739,39
68,2023-10-01,81,741,31
68,2023-11-01,159,308,49
68,2023-12-01,0,509,0
68,2024-01-01,30,456,6
68,2024-02-01,159,606,59
68,2024-03-01,206,198,62
68,2024-04-01,72,416,18
68,2024-05-01,61,217,25
69,2023-01-01,104,400,21
70,2023-01-01,179,534,56
70,2023-02-01,41,564,12
70,2023-03-01,127,273,34
70,2023-04-01,85,294,17
71,2023-01-01,72,643,15
71,2023-02-01,227,599,69
71,2023-03-01,109,262,35
71,2023-04-01,21,393,4
71,2023-05-01,137,467,41
71,2023-06-01,3,412,0
71,2023-07-01,47,727,22
72,2023-01-01,117,433,35
72,2023-02-01,67,102,22
72,2023-03-01,143,178,50
72,2023-04-01,148,293,53
72,2023-05-01,138,708,43
72,2023-06-01,212,709,53
72,2023-07-01,28,562,7
72,2023-08-01,122,657,34
72,2023-09-01,13,535,2
72,2023-10-01,148,469,49
72,2023-11-01,102,595,28
72,2023-12-01,142,566,43
72,2024-01-01,195,611,62
73,2023-01-01,71,873,21
73,2023-02-01,74,542,25
74,2023-01-01,134,676,42
74,2023-02-01,146,329,56
74,2023-03-01,48,763,18
74,2023-04-01,98,716,32
75,2023-01-01,89,256,30
75,2023-02-01,137,260,42
75,2023-03-01,46,274,15
75,2023-04-01,123,691,34
75,2023-05-01,130,207,44
75,2023-06-01,39,70,4
75,2023-07-01,172,0,45
75,2023-08-01,168,121,56
75,2023-09-01,139,591,42
75,2023-10-01,249,665,81
75,2023-11-01,159,635,45
75,2023-12-01,68,493,29
75,2024-01-01,58,427,14
75,2024-02-01,184,735,53
75,2024-03-01,24,761,9
75,2024-04-01,130,474,37
75,2024-05-01,202,406,60
75,2024-06-01,84,234,22
75,2024-07-01,48,340,12
75,2024-08-01,126,390,40
76,2023-01-01,157,711,44
76,2023-02-01,168,466,46
76,2023-03-01,200,683,61
76,2023-04-01,0,346,0
76,2023-05-01,76,407,23
76,2023-06-01,153,401,48
76,2023-07-01,170,459,39
76,2023-08-01,102,357,29
76,2023-09-01,213,541,61
76,2023-10-01,197,778,55
76,2023-11-01,159,564,54
76,2023-12-01,192,492,57
76,2024-01-01,143,534,44
76,2024-02-01,178,428,55
76,2024-03-01,160,164,42
76,2024-04-01,58,458,17
76,2024-05-01,261,795,82
76,2024-06-01,75,313,23
76,2024-07-01,216,388,59
76,2024-08-01,169,732,44
77,2023-01-01,163,376,46
77,2023-02-01,93,694,31
78,2023-01-01,131,692,48
78,2023-02-01,218,282,62
78,2023-03-01,72,415,26
78,2023-04-01,31,679,9
78,2023-05-01,150,689,52
78,2023-06-01,140,639,42
78,2023-07-01,159,582,42
78,2023-08-01,132,358,40
78,2023-09-01,159,258,54
78,2023-10-01,79,325,22
78,2023-11-01,102,364,33
78,2023-12-01,131,339,39
78,2024-01-01,91,501,23
78,2024-02-01,273,302,84
78,2024-03-01,54,480,11
78,2024-04-01,207,624,67
78,2024-05-01,150,123,52
79,2023-01-01,219,485,66
79,2023-02-01,196,624,57
79,2023-03-01,112,166,34
79,2023-04-01,55,554,17
79,2023-05-01,93,628,23
79,2023-06-01,150,616,47
79,2023-07-01,155,1,35
79,2023-08-01,136,669,48
79,2023-09-01,122,479,40
79,2023-10-01,57,119,12
79,2023-11-01,121,625,32
79,2023-12-01,24,371,5
79,2024-01-01,122,1092,27
79,2024-02-01,167,534,49
79,2024-03-01,165,640,42
79,2024-04-01,243,315,81
79,2024-05-01,77,539,19
79,2024-06-01,193,294,68
79,2024-07-01,189,608,65
79,2024-08-01,142,827,45
80,2023-01-01,121,246,29
81,2023-01-01,4,643,2
81,2023-02-01,152,420,52
81,2023-03-01,58,262,16
81,2023-04-01,51,689,19
81,2023-05-01,215,465,70
81,2023-06-01,68,317,20
82,2023-01-01,104,910,31
82,2023-02-01,130,531,36
82,2023-03-01,0,606,0
82,2023-04-01,133,171,39
82,2023-05-01,158,740,46
82,2023-06-01,146,0,58
82,2023-07-01,107,385,28
82,2023-08-01,69,180,25
82,2023-09-01,49,37,13
82,2023-10-01,157,295,41
82,2023-11-01,106,489,31
82,2023-12-01,0,529,1
82,2024-01-01,209,606,69
82,2024-02-01,120,423,36
82,2024-03-01,45,341,13
83,2023-01-01,90,442,25
83,2023-02-01,91,394,25
83,2023-03-01,78,798,19
83,2023-04-01,72,204,20
83,2023-05-01,101,781,34
83,2023-06-01,72,829,20
83,2023-07-01,77,206,27
83,2023-08-01,172,770,49
84,2023-01-01,192,501,60
84,2023-02-01,40,490,12
84,2023-03-01,189,605,54
84,2023-04-01,201,365,60
85,2023-01-01,203,783,68
85,2023-02-01,64,475,20
85,2023-03-01,143,358,55
85,2023-04-01,156,621,54
86,2023-01-01,179,723,47
86,2023-02-01,205,628,61
86,2023-03-01,130,286,42
86,2023-04-01,69,675,23
86,2023-05-01,194,499,59
86,2023-06-01,113,534,35
86,2023-07-01,116,493,36
86,2023-08-01,77,402,18
86,2023-09-01,111,800,38
86,2023-10-01,108,343,23
86,2023-11-01,89,568,26
86,2023-12-01,144,372,47
86,2024-01-01,160,445,45
86,2024-02-01,168,38,54
86,2024-03-01,113,726,32
86,2024-04-01,135,270,45
87,2023-01-01,59,859,16
87,2023-02-01,84,758,19
87,2023-03-01,143,470,39
87,2023-04-01,95,717,34
88,2023-01-01,155,435,48
88,2023-02-01,167,0,48
88,2023-03-01,90,359,35
88,2023-04-01,145,736,48
89,2023-01-01,184,545,60
89,2023-02-01,96,265,24
89,2023-03-01,61,704,14
89,2023-04-01,107,579,27
89,2023-05-01,171,735,55
89,2023-06-01,188,629,56
89,2023-07-01,118,36,38
90,2023-01-01,115,720,31
90,2023-02-01,100,534,33
90,2023-03-01,98,625,28
90,2023-04-01,168,483,46
90,2023-05-01,133,600,46
90,2023-06-01,164,570,53
90,2023-07-01,89,776,16
90,2023-08-01,167,709,53
90,2023-09-01,76,817,26
90,2023-10-01,152,758,46
90,2023-11-01,33,441,11
90,2023-12-01,145,639,47
90,2024-01-01,182,493,67
90,2024-02-01,126,287,33
90,2024-03-01,0,527,0
90,2024-04-01,168,334,50
90,2024-05-01,71,407,22
90,2024-06-01,98,767,19
91,2023-01-01,48,450,18
91,2023-02-01,120,288,45
91,2023-03-01,164,218,59
91,2023-04-01,72,504,23
91,2023-05-01,167,380,55
91,2023-06-01,170,521,60
91,2023-07-01,36,619,15
91,2023-08-01,44,854,10
91,2023-09-01,65,74,23
91,2023-10-01,84,452,30
91,2023-11-01,127,840,49
92,2023-01-01,229,69,74
92,2023-02-01,120,432,36
92,2023-03-01,193,326,63
92,2023-04-01,131,327,41
92,2023-05-01,48,620,12
92,2023-06-01,21,459,7
92,2023-07-01,157,511,40
92,2023-08-01,64,553,23
92,2023-09-01,75,398,25
92,2023-10-01,98,359,25
92,2023-11-01,210,330,62
93,2023-01-01,123,440,37
94,2023-01-01,138,990,54
94,2023-02-01,51,841,15
94,2023-03-01,94,381,27
94,2023-04-01,151,794,41
94,2023-05-01,54,636,13
94,2023-06-01,141,299,50
94,2023-07-01,165,413,45
94,2023-08-01,143,565,44
94,2023-09-01,61,426,14
94,2023-10-01,243,420,76
94,2023-11-01,194,442,64
94,2023-12-01,48,731,17
94,2024-01-01,15,736,4
94,2024-02-01,126,273,32
94,2024-03-01,101,638,35
94,2024-04-01,99,314,26
94,2024-05-01,78,313,17
94,2024-06-01,107,374,41
94,2024-07-01,55,53,11
94,2024-08-01,197,540,63
95,2023-01-01,72,736,20
95,2023-02-01,203,506,63
95,2023-03-01,170,871,40
95,2023-04-01,108,642,32
95,2023-05-01,156,246,50
95,2023-06-01,145,456,48
95,2023-07-01,100,360,38
95,2023-08-01,182,430,61
95,2023-09-01,137,663,36
95,2023-10-01,141,530,44
95,2023-11-01,164,555,45
95,2023-12-01,87,217,26
95,2024-01-01,134,506,42
95,2024-02-01,79,302,26
95,2024-03-01,94,812,29
95,2024-04-01,122,524,37
95,2024-05-01,76,302,24
95,2024-06-01,119,365,39
95,2024-07-01,0,396,0
95,2024-08-01,122,625,44
96,2023-01-01,111,223,38
96,2023-02-01,194,452,61
96,2023-03-01,205,244,52
96,2023-04-01,154,425,37
96,2023-05-01,38,854,14
96,2023-06-01,138,808,40
96,2023-07-01,64,420,18
96,2023-08-01,54,391,13
96,2023-09-01,12,667,8
96,2023-10-01,72,399,18
96,2023-11-01,17,386,4
96,2023-12-01,68,581,16
96,2024-01-01,16,707,7
96,2024-02-01,96,460,25
96,2024-03-01,187,794,51
96,2024-04-01,115,372,29
96,2024-05-01,213,490,63
96,2024-06-01,101,390,25
96,2024-07-01,122,20,39
97,2023-01-01,91,391,29
97,2023-02-01,135,906,40
97,2023-03-01,122,579,41
97,2023-04-01,100,616,29
97,2023-05-01,140,759,48
97,2023-06-01,194,465,69
