ticket_id,customer_id,opened_at,closed_at,priority
169,91,2023-08-22 14:00:00,2023-08-23 17:57:03.434042,Low
170,92,2023-01-24 19:00:00,2023-01-25 03:34:14.486764,Low
171,92,2023-04-25 13:00:00,2023-04-25 15:05:20.454491,Low
172,94,2024-02-08 18:00:00,2024-02-10 00:54:04.454381,Low
173,95,2023-06-09 11:00:00,2023-06-10 04:39:53.184484,Low
174,95,2024-04-25 08:00:00,2024-04-25 09:38:49.323217,High
175,95,2024-07-23 19:00:00,2024-07-23 21:26:35.348783,Low
176,96,2023-08-23 12:00:00,2023-08-24 18:26:21.575513,Medium
177,97,2023-10-12 14:00:00,2023-10-12 21:44:26.386565,Medium
178,97,2023-11-04 00:00:00,2023-11-04 02:13:43.266667,Medium
179,97,2023-11-04 22:00:00,2023-11-05 01:42:35.216082,Medium
180,97,2023-11-24 20:00:00,2023-11-25 19:52:17.908395,Low
181,98,2023-02-19 09:00:00,2023-02-19 12:06:45.647979,High
182,98,2023-06-08 20:00:00,2023-06-08 23:46:03.057966,Low
183,98,2023-07-09 07:00:00,2023-07-09 17:07:42.686615,Medium
184,98,2023-08-25 12:00:00,2023-08-28 17:35:08.609234,Low
185,98,2023-09-17 22:00:00,2023-09-19 01:09:07.289561,Low
186,100,2023-02-17 10:00:00,2023-02-18 10:12:57.785862,High
187,100,2023-07-24 12:00:00,2023-07-25 17:24:26.457022,Medium
188,101,2023-02-19 03:00:00,2023-02-19 15:42:46.404094,Medium
189,101,2023-06-01 16:00:00,2023-06-03 10:32:53.337390,Medium
190,102,2023-02-23 07:00:00,2023-02-25 04:33:51.979228,Medium
191,102,2023-06-19 13:00:00,2023-06-19 15:32:00.359327,Low
192,102,2024-04-12 19:00:00,2024-04-13 10:47:59.397173,High
193,104,2023-02-28 12:00:00,2023-02-28 17:26:30.701179,Low
194,104,2023-04-07 02:00:00,2023-04-07 21:16:23.539316,Medium
195,104,2024-03-28 14:00:00,2024-03-28 15:29:31.038831,Low
196,104,2024-04-17 11:00:00,2024-04-19 15:23:41.389434,High
197,104,2024-05-17 18:00:00,2024-05-17 20:36:08.082836,Low
198,105,2023-01-06 21:00:00,2023-01-07 16:10:52.706321,Medium
199,105,2023-02-21 23:00:00,2023-02-22 08:46:30.225250,Low
200,105,2023-04-18 22:00:00,2023-04-19 02:05:59.862245,Low
201,105,2023-04-22 06:00:00,2023-04-22 12:18:20.179881,Low
202,105,2024-02-11 14:00:00,2024-02-12 07:06:30.426814,Low
203,105,2024-03-21 02:00:00,2024-03-23 09:11:04.826043,Low
204,105,2024-04-04 08:00:00,2024-04-04 12:15:16.212141,Medium
205,106,2023-03-19 03:00:00,2023-03-19 09:42:29.676513,High
206,106,2023-09-24 22:00:00,2023-09-28 12:13:26.727674,High
207,106,2023-11-14 02:00:00,2023-11-14 04:45:14.111769,Medium
208,106,2023-11-03 10:00:00,2023-11-04 02:04:19.420324,Medium
209,106,2024-02-15 00:00:00,2024-02-15 03:14:23.222907,Low
210,106,2024-08-07 19:00:00,2024-08-07 19:41:23.968182,Low
211,108,2023-01-18 00:00:00,2023-01-18 22:32:55.383176,Low
212,109,2023-05-11 03:00:00,2023-05-12 09:47:22.321521,High
213,111,2023-01-24 12:00:00,2023-01-24 20:35:47.143220,High
214,111,2023-05-05 17:00:00,2023-05-06 11:53:42.123356,Medium
215,111,2023-09-01 02:00:00,2023-09-01 05:59:25.326393,High
216,111,2023-10-28 02:00:00,2023-10-28 11:58:49.470362,Low
217,115,2023-03-27 22:00:00,2023-03-29 12:49:42.420142,Medium
218,115,2023-04-20 13:00:00,2023-04-20 13:39:25.399921,Medium
219,115,2023-04-17 14:00:00,2023-04-17 23:57:06.000086,Medium
220,115,2023-05-18 05:00:00,2023-05-19 08:04:06.717621,Low
221,115,2023-06-13 03:00:00,2023-06-13 15:32:08.365131,High
222,116,2023-10-25 02:00:00,2023-10-26 10:45:59.153420,Medium
223,116,2024-03-19 04:00:00,2024-03-19 15:19:03.884031,Low
224,117,2023-02-27 11:00:00,2023-02-27 22:20:15.489715,Low
225,117,2023-06-06 09:00:00,2023-06-08 14:38:24.854906,Medium
226,117,2023-12-13 18:00:00,2023-12-13 23:31:47.336069,Low
227,119,2023-03-22 06:00:00,2023-03-23 04:45:40.926881,Low
228,119,2023-06-08 16:00:00,2023-06-09 07:10:35.194664,Low
229,119,2023-09-11 13:00:00,2023-09-11 14:11:59.848212,Low
230,120,2023-09-11 17:00:00,2023-09-12 00:46:17.485695,Medium
231,120,2023-11-03 11:00:00,2023-11-05 05:37:50.639888,High
232,120,2024-05-17 13:00:00,2024-05-17 23:47:07.550163,Medium
233,121,2023-04-23 07:00:00,2023-04-23 12:29:45.998577,Low
234,121,2023-06-27 05:00:00,2023-06-28 20:59:01.308799,Low
235,121,2023-11-11 21:00:00,2023-11-12 03:07:14.075864,Medium
236,121,2024-03-14 14:00:00,2024-03-14 20:25:19.136119,Medium
237,121,2024-04-07 23:00:00,2024-04-08 02:47:14.552633,Low
238,122,2023-02-20 08:00:00,2023-02-20 14:29:11.552681,Low
239,122,2023-07-14 06:00:00,2023-07-14 14:06:27.841157,Low
240,122,2023-10-10 14:00:00,2023-10-10 16:13:53.797038,Medium
241,122,2024-08-04 18:00:00,2024-08-04 21:25:00.719982,Medium
242,124,2023-05-22 16:00:00,2023-05-23 02:19:11.310362,Low
243,124,2023-07-15 05:00:00,2023-07-15 11:54:13.491286,Medium
244,124,2023-11-19 21:00:00,2023-11-21 10:10:02.384269,Medium
245,124,2024-01-24 10:00:00,2024-01-24 13:15:46.930357,High
246,125,2023-01-25 02:00:00,2023-01-25 09:11:45.808035,Medium
247,125,2023-03-25 11:00:00,2023-03-26 02:42:51.513583,High
248,125,2024-04-24 08:00:00,2024-04-25 02:34:00.385343,Low
249,126,2023-11-17 09:00:00,2023-11-18 06:41:36.476298,Low
250,128,2023-02-25 21:00:00,2023-02-27 10:19:31.519514,Low
251,131,2023-09-24 21:00:00,2023-09-24 21:35:45.380366,Medium
252,131,2023-12-08 06:00:00,2023-12-08 22:01:13.246659,Medium
253,132,2023-02-24 09:00:00,2023-02-24 22:43:18.089062,Medium
254,132,2023-08-22 21:00:00,2023-08-23 08:49:42.490574,Low
255,132,2024-03-10 14:00:00,2024-03-12 10:13:22.319423,High
256,132,2024-08-08 04:00:00,2024-08-08 05:42:18.826583,Low
257,133,2023-02-18 05:00:00,2023-02-18 09:27:07.655412,Low
258,133,2023-04-10 09:00:00,2023-04-10 13:41:22.961124,Low
259,134,2023-08-26 13:00:00,2023-08-27 04:03:27.230320,Medium
260,135,2023-03-05 23:00:00,2023-03-06 03:52:04.064559,High
261,135,2023-03-09 22:00:00,2023-03-11 10:55:50.797484,Low
262,135,2023-10-19 21:00:00,2023-10-20 08:12:28.783116,Medium
263,135,2024-06-14 04:00:00,2024-06-14 21:44:21.440655,Medium
264,136,2023-01-22 23:00:00,2023-01-25 01:50:07.693277,High
265,136,2023-05-17 22:00:00,2023-05-18 11:11:45.263335,Low
266,136,2023-08-04 04:00:00,2023-08-04 09:30:58.785265,Medium
267,136,2024-04-18 01:00:00,2024-04-19 15:11:09.430344,High
268,137,2023-01-10 05:00:00,2023-01-12 06:33:23.474042,Low
269,137,2023-01-25 20:00:00,2023-01-26 14:01:05.712564,Medium
270,138,2023-01-20 10:00:00,2023-01-21 06:24:39.698475,High
271,138,2023-04-13 00:00:00,2023-04-16 01:48:56.887882,Low
272,138,2023-09-09 07:00:00,2023-09-09 10:55:12.225171,High
273,138,2023-09-26 13:00:00,2023-09-27 14:39:46.629590,Medium
274,139,2023-01-20 10:00:00,2023-01-21 10:23:57.039494,Low
275,140,2023-02-12 09:00:00,2023-02-12 10:03:54.423638,High
276,140,2023-06-02 11:00:00,2023-06-03 04:42:04.410902,Medium
277,140,2023-07-03 11:00:00,2023-07-03 16:04:58.659934,Medium
278,140,2023-08-12 13:00:00,2023-08-12 18:40:46.475585,Low
279,141,2023-01-19 18:00:00,2023-01-21 21:17:56.387169,Low
280,144,2023-05-17 01:00:00,2023-05-17 06:06:31.768379,Medium
281,144,2024-08-23 23:00:00,2024-08-25 00:06:18.764348,High
282,144,2024-08-23 20:00:00,2024-08-24 12:49:43.040586,Medium
283,145,2023-02-26 12:00:00,2023-02-28 03:43:13.158019,Medium
284,147,2023-04-26 02:00:00,2023-04-26 10:30:22.038242,Medium
285,147,2023-06-14 00:00:00,2023-06-14 03:03:21.934549,Low
286,150,2023-02-04 04:00:00,2023-02-05 02:04:07.174617,Medium
287,150,2023-02-01 00:00:00,2023-02-01 00:36:59.680536,Low
288,150,2023-07-02 14:00:00,2023-07-02 23:15:21.191209,Medium
289,151,2023-01-15 21:00:00,2023-01-17 09:15:16.283269,Low
290,151,2023-03-15 21:00:00,2023-03-17 14:43:34.711844,Low
291,151,2023-05-14 07:00:00,2023-05-14 14:51:57.262178,Low
292,151,2023-08-10 15:00:00,2023-08-11 08:14:33.556820,Low
293,152,2023-07-09 05:00:00,2023-07-09 07:54:29.222875,Medium
294,153,2023-06-11 02:00:00,2023-06-11 15:05:16.705980,Low
295,155,2023-04-21 04:00:00,2023-04-23 20:39:32.701498,Medium
296,155,2023-04-13 08:00:00,2023-04-13 20:39:09.109501,Medium
297,158,2023-04-01 15:00:00,2023-04-01 18:12:49.663926,Low
298,160,2023-01-05 00:00:00,2023-01-05 17:13:03.941663,Low
299,164,2023-02-12 13:00:00,2023-02-13 07:56:04.977437,Low
300,164,2023-10-09 13:00:00,2023-10-09 13:30:00.000000,Low
301,165,2023-01-13 11:00:00,2023-01-13 14:42:13.885834,Medium
302,165,2023-02-16 04:00:00,2023-02-17 04:18:42.096121,Low
303,170,2023-02-23 23:00:00,2023-02-25 05:01:44.969309,Medium
304,170,2023-12-04 04:00:00,2023-12-04 14:50:17.729721,Low
305,173,2023-02-28 16:00:00,2023-03-02 17:48:33.106847,High
306,173,2023-02-01 23:00:00,2023-02-03 18:36:43.831132,Medium
307,173,2023-12-11 14:00:00,2023-12-11 18:23:24.316625,High
308,174,2023-03-17 16:00:00,2023-03-17 17:46:25.168800,Low
309,174,2023-07-06 19:00:00,2023-07-07 01:22:43.279096,Medium
310,174,2024-07-18 08:00:00,2024-07-18 21:30:11.630083,Low
311,175,2023-09-18 18:00:00,2023-09-19 04:40:33.925347,Low
312,176,2023-02-02 02:00:00,2023-02-04 11:05:14.104571,Low
313,177,2023-01-17 14:00:00,2023-01-19 12:01:57.628575,Medium
314,177,2023-12-25 04:00:00,2023-12-27 09:16:18.268006,Low
315,177,2024-02-19 17:00:00,2024-02-21 23:15:18.454003,Medium
316,178,2023-02-06 15:00:00,2023-02-07 09:07:00.308082,Low
317,179,2023-07-18 23:00:00,2023-07-20 00:10:56.571911,High
318,179,2023-09-22 05:00:00,2023-09-24 06:16:32.122705,Low
319,179,2024-01-26 05:00:00,2024-01-26 05:38:57.917403,Medium
320,180,2023-02-12 21:00:00,2023-02-16 00:33:11.807235,Low
321,181,2023-06-01 15:00:00,2023-06-02 13:01:53.909476,Medium
322,181,2024-02-02 10:00:00,2024-02-03 01:34:45.345595,Medium
323,182,2023-02-02 07:00:00,2023-02-02 07:30:00.000000,High
324,182,2023-12-07 13:00:00,2023-12-08 02:53:54.606045,Low
325,182,2024-02-11 20:00:00,2024-02-13 03:03:47.961165,Medium
326,182,2024-06-12 18:00:00,2024-06-14 02:01:51.066759,High
327,183,2023-02-26 09:00:00,2023-02-26 16:15:46.074241,Medium
328,183,2023-03-28 11:00:00,2023-03-29 00:34:35.500063,Medium
329,183,2023-12-05 09:00:00,2023-12-06 00:26:32.416692,Medium
330,183,2024-01-24 02:00:00,2024-01-24 02:56:04.680609,Low
331,183,2024-01-12 09:00:00,2024-01-12 15:39:15.369982,Low
332,185,2023-01-12 07:00:00,2023-01-13 16:19:54.084021,Low
333,185,2023-05-16 21:00:00,2023-05-17 14:36:34.315579,High
334,185,2023-07-07 17:00:00,2023-07-07 23:10:26.266560,High
335,185,2024-01-18 22:00:00,2024-01-19 02:05:32.021293,Low
336,185,2024-02-09 21:00:00,2024-02-11 19:59:13.440723,High
337,186,2023-03-15 21:00:00,2023-03-16 05:35:30.192187,High
338,186,2023-05-22 16:00:00,2023-05-22 16:49:43.275267,Medium
339,186,2023-09-23 18:00:00,2023-09-24 02:08:10.557778,Medium
340,187,2023-01-23 10:00:00,2023-01-23 15:30:50.624231,Low
341,187,2023-01-21 11:00:00,2023-01-21 23:23:32.866367,High
342,187,2023-01-16 20:00:00,2023-01-19 07:29:07.298433,Medium
343,188,2024-02-11 08:00:00,2024-02-11 09:16:56.760819,Low
344,188,2024-07-08 16:00:00,2024-07-09 07:17:35.788138,High
345,189,2023-02-01 12:00:00,2023-02-03 07:17:12.972993,Low
346,190,2023-03-04 11:00:00,2023-03-04 11:53:34.625059,Low
347,190,2023-07-16 17:00:00,2023-07-17 07:09:02.894611,High
348,190,2024-03-04 04:00:00,2024-03-07 06:52:05.538504,Low
349,191,2023-01-09 13:00:00,2023-01-09 14:16:28.083222,Low
350,191,2023-05-08 21:00:00,2023-05-09 15:14:22.088831,Low
351,191,2023-06-10 06:00:00,2023-06-12 19:30:08.327862,High
352,191,2023-09-15 20:00:00,2023-09-15 23:50:47.743538,Medium
353,192,2023-05-10 10:00:00,2023-05-10 13:14:21.740072,Medium
354,192,2023-05-11 10:00:00,2023-05-11 17:31:03.954878,Low
355,194,2023-01-27 21:00:00,2023-01-29 00:46:55.287222,Low
356,194,2023-05-20 10:00:00,2023-05-22 01:41:57.583293,Medium
357,194,2023-09-24 15:00:00,2023-09-25 23:20:35.566887,Low
358,194,2023-12-07 04:00:00,2023-12-08 16:26:18.199705,Low
359,194,2024-01-28 15:00:00,2024-02-01 09:22:11.729980,Medium
360,194,2024-02-05 01:00:00,2024-02-05 13:10:40.949027,High
361,195,2023-09-15 04:00:00,2023-09-15 09:24:44.369539,Medium
362,197,2023-02-04 02:00:00,2023-02-05 22:21:55.591830,High
363,197,2023-04-09 07:00:00,2023-04-09 16:51:22.860782,Low
364,197,2023-07-16 23:00:00,2023-07-19 06:58:08.511415,High
365,198,2023-01-11 10:00:00,2023-01-12 14:17:59.255260,High
366,199,2023-01-20 00:00:00,2023-01-23 06:41:54.145305,Low
367,199,2023-04-09 03:00:00,2023-04-11 11:50:19.022524,Low
368,199,2023-04-05 10:00:00,2023-04-05 10:30:00.000000,Low
369,199,2023-09-03 23:00:00,2023-09-04 11:32:51.430121,Low
370,199,2024-08-04 17:00:00,2024-08-07 08:10:35.175110,Medium
371,200,2023-03-04 01:00:00,2023-03-05 03:40:46.676221,Medium
372,200,2023-06-23 18:00:00,2023-06-23 18:30:00.000000,Medium
373,201,2023-10-27 10:00:00,2023-10-28 05:55:17.843185,Low
374,202,2023-02-27 15:00:00,2023-03-01 00:29:45.152175,High
375,202,2023-03-27 17:00:00,2023-03-27 22:03:29.519001,Medium
376,203,2023-09-15 07:00:00,2023-09-16 07:43:20.111323,Medium
377,203,2023-10-04 10:00:00,2023-10-05 02:59:15.930636,Low
378,203,2024-02-16 06:00:00,2024-02-16 21:49:15.531089,Low
379,204,2023-05-03 23:00:00,2023-05-05 14:23:04.860478,Medium
380,206,2023-07-09 14:00:00,2023-07-10 21:32:44.132386,Low
381,207,2023-04-18 04:00:00,2023-04-19 03:42:28.118401,Low
382,208,2023-02-07 01:00:00,2023-02-07 07:10:13.830748,Medium
383,208,2023-09-08 08:00:00,2023-09-08 13:28:46.936443,Medium
384,209,2023-03-09 23:00:00,2023-03-10 00:15:14.903536,Low
385,209,2024-04-24 19:00:00,2024-04-24 19:30:23.226864,Low
